中国	China
马斯喀特省	Muscat Province
穆桑达姆省	Mu Sandham Province
内地地区	The mainland area
中部地区	The central region
佐法尔省	Dhofar
阿塞拜疆	Azerbaijan
阿布歇隆	Absheron
哈奇马斯	Hacci Maas
卡尔巴卡尔	Karl Bakar
卡扎赫	Kazach
连科兰	Lian Kelan
密尔-卡拉巴赫	The Karabakh
穆甘-萨连	Kur-mugan - link on Sacha
纳戈尔诺－卡拉巴赫	Nagorno Karabakh
纳希切万	Nakhichevan
普利亚拉克斯	Puliyalakesi
舍基	Shirky
苏姆盖特	Shum Gate
锡尔万	Silvan
占贾	Ganja
阿森松岛	Ascension Island
埃及	Egypt
阿斯旺	Aswan
古尔代盖	Hurghada
开罗	Cairo
苏布拉开马	Sublake Ma
亚历山大	Alexander
埃塞俄比亚	Ethiopia
阿法尔	Afall
阿姆哈拉	Amhara
奥罗米亚	Oromia
宾香古尔	Bin Xiang Gul
德雷达瓦	Delle Dava
甘贝拉各族	All ethnic groups in Gambella
哈勒里民族	Haller in national
南方各族	All ethnic groups in Southern
索马里	Somalia
提格雷	Tigre
亚的斯亚贝巴	Addisababa
爱尔兰	Ireland
奥法利	Offaly
蒂珀雷里	Tipperary
都柏林	Dublin
多内加尔	Donegal
戈尔韦	Galway
基尔代尔	Kildare
基尔肯尼	Gilbert Kenny
卡范	Cavan
卡洛	Carlo
凯里	Kaili
科克	Kirk
克莱尔	Claire
朗福德	Lang Fude
劳斯	Routh
崂斯	Laois
利默里克	Limerick
利特里姆	Leitrim
罗斯康芒	Ross Kang Mang
梅奥	Mayo
米斯	Mis
莫内根	Monaghan
斯莱戈	Sligo
威克洛	Wiklo
韦克斯福德	Wexford
沃特福德	Wouter Forde
西米斯	Simis
爱沙尼亚	Estonia
贝尔瓦	Belwar
哈留	Harju
拉普拉	Rapla
里亚内	Riane
帕尔努	Parnu
萨雷	Sa Lei
塔尔图	Tartu
瓦尔加	Varga
维良地	Weiliangdi
维鲁	Viru
沃鲁	VRU
希尤	Xi You
耶尔韦	Jelved
耶盖瓦	Egeva
依达－维鲁	Aida - viru
安道尔	Andorra
安道尔城	Andorra la Vella
奥尔迪诺	Orr Dino
恩坎普	Encamp
卡尼略	Canillo
莱塞斯卡尔德－恩戈尔达	Lacey Scarl de and David Ngog as
马萨纳	La Massana
圣胡利娅－德洛里亚	Shenghuliyadeluoliya
安哥拉	Angola
北宽扎	Kwanza Norte
北隆达	Lunda Norte
本戈	Ben
本格拉	Benguela
比耶	Biyah
卡宾达	Cabinda
库内内	Cunene
宽多库邦戈	Kuanduokubangge
罗安达	Luanda
马兰热	Marange
莫希科	Mo Xike
纳米贝	Namibe
南宽扎	Nan Kuanzha
南隆达	Nan Longda
万博	Huambo
威拉	Willa
威热	In Uige
扎伊尔	Zaire
安圭拉	Anguilla
安提瓜岛和巴布达	The island of Antigua and Barbuda
澳大利亚	Australia
北部地区	Northern region
北帕默斯顿	North Palmerston
达尔文	Darwin
堪培拉	Canberra
昆士兰	Queensland
布里斯班	Brisbane
黄金海岸	Gold Coast
凯恩斯	Keynes
日光海岸	Sunny day
汤斯维尔	Townsville
图文巴	Toowoomba
南澳大利亚	South Australia
阿德莱德	Adelaide
奥古斯塔港	Port of Augusta
甘比亚山	Mount Gambier
怀阿拉	Whyalla
林肯港	Port Lincoln
默里布里奇	Murray Buri
皮里港	Port Pirie
维克托港	Port Victor
塔斯马尼亚	Tasmania
伯尼港	Port Bernie
德文波特	Devenport
霍巴特	Hobart
朗塞斯顿	Ron Seth Don
维多利亚	Victoria
吉朗	Geelong
墨尔本	Melbourne
西澳大利亚	Western Australia
奥尔巴尼	Albany
班伯里	Banbury
弗里曼特尔港	Freeman Fremantle port
杰拉尔顿	Jay Lardon
卡尔古利	Carle gurry
曼哲拉	Manjera
珀斯	Perth
新南威尔士	New South Wales
纽卡斯尔	Newcastle
伍伦贡	Wollongong
悉尼	Sydney
奥地利	Austria
布尔根兰	Burgenland
蒂罗尔	Tyrol
福拉尔贝格	Fuhrer Begg
克恩顿	Kernton
萨尔茨堡	Salzburg
上奥地利	Austria
施蒂利亚	Skei Tillya
维也纳	Vienna
下奥地利	Austria
奥兰群岛	Aland Islands
巴巴多斯岛	The island of Barbados
巴布亚新几内亚	Papua New Guinea
北部	North
布干维尔	Bougainville
东部高地	The Eastern Highlands
东塞皮克	East Sepik
东新不列颠	East New Britain
恩加	Enga
海湾	Gulf
马当	The horse
马努斯	Manus
米尔恩湾	Milne Bay
莫尔兹比港	Port Moresby
莫罗贝	Morro Bay
南部高地	The southern highlands
钦布	Thimphu
桑道恩	Sang Daoen
西部	West
西部高地	The West Highland
西新不列颠	West New Britain
新爱尔兰	The New Ireland
巴哈马	The Bahamas
巴基斯坦	Pakistan
白沙瓦	Peshawar
费萨拉巴德	Faisalabad
故吉软瓦拉	Therefore	 soft Valla
海德拉巴	Hyderabad
卡拉奇	Karachi
拉合尔	Lahore
拉瓦尔品第	Rawalpindi
木尔坦	Multan
伊斯兰堡	Islamabad
巴拉圭	Paraguay
阿曼拜	Amanbai
阿耶斯总统省	President Ayers Province
巴拉瓜里	Bala Guari
博克龙	Bo Kelong
瓜伊拉	Guaira
卡瓜苏	Angola
卡嫩迪尤	Canen Di Jo
卡萨帕	Casapa
康塞普西翁	Concepcion
科迪勒拉	Cordillera
米西奥内斯	Mi Theo Ness
涅恩布库	Ne Don Bbu Cu
上巴拉圭	Paraguay
上巴拉那	Parana
圣佩德罗	San Pedro
亚松森特别区	Asuncion special zone
伊塔普亚	Yitapuya
中央	The central
巴勒斯坦	Palestinian
加沙地带	The Gaza Strip
西岸	West Bank
巴林	Bahrain
哈德	HUD
哈马德	Hamad
里法	In law
麦纳麦	Manama
穆哈拉格	Muharraq
伊萨城	The city of Issa
中部	Central section
巴拿马	Panama
巴西	Brazil
阿克里	Akri
阿拉戈斯	Arago J
阿马帕	Amapa
巴西利亚	Brasilia
巴伊亚	Bahia
北里奥格兰德	Rio Grande do Norte
伯南布哥	Pernambuco
戈亚斯	Goias
朗多尼亚	Rond NIA
里约热内卢	Rio De Janeiro
罗赖马	Luo Laima
马拉尼昂	Maranhao
马托格罗索	Mato Grosso
米纳斯吉拉斯	Minas Djilas
南里奥格兰德	Rio Grande do Sul
南马托格罗索	Mato Grosso do Sul
帕拉	Para
帕拉伊巴	Parra Iba
皮奥伊	Pioi
塞阿拉	Saara
塞尔希培	Sergi Phoui
圣埃斯皮里图	Espiritu Santo
圣保罗	St Paul
圣卡塔琳娜	Santa Catarina
托坎廷斯	Tocantins
亚马孙	The Amazon
白俄罗斯	Belarus
布列斯特	Brest
戈梅利	Homyel
格罗德诺	Hrodna
明斯克市	The city of Minsk
莫吉廖夫	Mogilev
维捷布斯克	Vitebsk
百慕大	Bermuda
保加利亚	Bulgaria
布尔加斯	Burgas
卡斯科伏	Casco V
鲁塞	Ruse
洛维奇	Boris
蒙塔纳	Montana
普罗夫迪夫	Plovdiv
索非亚	Sofia
索非亚市	Sofia City
瓦尔纳	Varna
北马里亚纳群岛	Northern Mariana Islands
贝宁	Benin
阿黎博里	A Leigh Boli
阿塔科拉	A Taccola
滨海	Coastal
波希康市	Wave and Kang City
博尔古	Borgu
大西洋	The Atlantic
高原	Plateau
库福	Kufu
莫诺	Monod
丘陵	Hills
韦梅	Wei Mei
峡谷	Canyon
祖	Progenitor
比利时	Belgium
埃诺	Eno
安特卫普	Antwerp
布拉班特-瓦隆	The Walloon Brabant -
布鲁塞尔	Brussels
东佛兰德	East Flanders
佛兰芒-布拉班特	Flemish Brabant
列日	Liege
林堡	Limburg
卢森堡	Luxemburg
那慕尔	Namur
西佛兰德	The West Flanders
冰岛	Iceland
波多黎各	Puerto Rico
波兰	Poland
埃尔布隆格	El Blom G
奥尔什丁	Orr J Martin
奥斯特罗文卡	Oster Rowan C
比得哥什	Bydgoszcz
彼得库夫	Peter Cu J
比托姆	Polonia Bytom
比亚瓦波德拉斯卡	Biava Podlaska
比亚维斯托克	Be Yavi Stoker
波莱	Polet
波兹南	Poznan
达布罗瓦戈尼察	Dabuluowagenicha
大波兰地区戈茹夫	Wielkopolska area Ge Ru Fu
弗罗茨瓦夫	Wroclaw
弗沃茨瓦韦克	F Watts Wa Wake
格但斯克	G Dan Silk
格丁尼亚	Gdynia
格利维采	Glee Vee Ce
格鲁琼兹	Grudziadz
海乌姆	Kholm
华沙	Warsaw
霍茹夫	Huo Rufu
卡利什	Kalish
卡托维兹	Katowice
凯尔采	Kielce
科宁	Corning
科沙林	Koshalin
克拉科夫	Krakow
克罗斯诺	Cross Nor
拉多姆	Radom
莱格尼察	Legge Ni Ca
莱什诺	Leszno
卢布林	Lublin
鲁达	Lu Da
罗兹	Rhodes
绿山城	Green Mountain
米什洛维采	Michelot Vee Ce
皮瓦	Picowatt
普热梅希尔	F Rzemysl
普沃茨克	Pock
切哈努夫	Che Hannu J
热舒夫	Rzeszow
什切青	Szczecin
斯凯尔涅维采	Skaer Niewice
斯武普斯克	The Slupsk
苏瓦乌基	Suva U Ki
索波特	Saubot
索斯诺维茨	Sosnowiec
塔尔努夫	Tal Nur J
塔尔诺布热格	Tal Nobb Rzeg
特切	Teqie
托伦	Torun
瓦乌布日赫	Wa Ubu Rich
沃姆扎	OMA
希米亚诺维采	Cilmi Jano Vee Ce
希维诺乌伊希切	Heavey Nor U Isi Che
希维托赫洛维采	Heavey Tuohy Lowe Ce
谢德尔采	Schaede M Ce
谢拉兹	Sheraz
新松奇	Nowy sacz
雅沃兹诺	Yawozinuo
耶莱尼亚古拉	Jerzy Leni A Gura
扎布热	Zabrze
扎莫希奇	Za Mo Sich
玻利维亚	Bolivia
奥尔托	Alto
奥鲁罗	Oruro
贝尼	Beni
波多西	Podosi
基拉科洛	Kira Kolo
科恰班巴	Cochabamba
拉巴斯	La Paz
潘多	Pan Duo
丘基萨卡	Chuquisaca
萨卡巴	Sacaba
圣克鲁斯	Santa Cruz
塔里哈	Tarija
波斯尼亚和黑塞哥维那	Bosnia and Herzegovina
波萨维纳	Posavina
波斯尼亚－波德里涅	Bosnian Podrinje
多米斯拉夫格勒	Domi Islla J Glenn
黑塞哥维那－涅雷特瓦	Herzegovina Hesse Ne Leite Wa
萨拉热窝	Sarajevo
图兹拉－波德里涅	Tuzla Podrinje
乌纳－萨纳	Una: SANA
西波斯尼亚	Bosnia
西黑塞哥维那	Hesse West Herzegovina
泽尼察－多博伊	Zenica Doboj -
中波斯尼亚	In Bosnia
博茨瓦纳	Botswana
伯利兹	Belize
橘园	Orchard
卡约	Cayo
科罗萨尔	Crosa M
斯坦港	Inn
托莱多	Toledo
不丹	Bhutan
布基纳法索	Burkina Faso
巴雷	Barre
巴姆	BAM
巴瓦	Bawa
巴泽加	Baz GA
波尼	Pawnee
布尔古	Bulgu
布尔基恩德	Burki Ende
布古里巴	Bbu Guri Ba
冈祖尔古	Gen Zur Gu
古尔马	Gourma
济罗	Ziro
卡焦戈	Kadiogo
凯内杜古	Kay Hei Modadugu
科蒙加里	C Mon Gary
科莫埃	Komoe
孔皮恩加	Kong Pean Fagafaga
孔西	Kong Xi
库尔佩罗戈	Kul Pero Gore
库尔维奥戈	Kul Vee Aogo
库里滕加	Currie ten Fagafaga
雷拉巴	Ray Rabbah
罗卢姆	Loroum
穆翁	Mu Weng
纳门滕加	Na Montenga
纳乌里	Nauri
纳亚拉	Naara
尼亚尼亚	NIA
努姆比埃尔	Nur M Pierre
帕索雷	Pasore
塞诺	The
桑吉	Sanchi
桑马滕加	San Maarten Fagafaga
苏鲁	Su Lu
苏姆	Susan
塔波阿	Tapoa
图伊	Tui
乌埃	Houet
乌布里滕加	Ubu Lee ten Fagafaga
乌达兰	Oudalan
锡西里	Sissili
亚加	Arteaga
亚滕加	Ya Tengjia
伊奥巴	Ioba
宗德韦奥戈	Zonder Vee Aogo
宗多马	Zondoma
布隆迪	Burundi
布班扎	Bubanza
布鲁里	Buruli
布琼布拉城市	Bujumbura City
布琼布拉乡村	Rural Bujumbura
恩戈齐	Ngzi
基龙多	Kirundo
基特加	Kitega
卡鲁济	Karuzi
卡扬扎	Callanza
坎库佐	Kankuzo
鲁塔纳	Rutana
鲁伊吉	Lu Yiji
马坎巴	Makamba
穆拉姆维亚	Muramvya
穆瓦洛	Muvalo
穆因加	Mu Yinjia
锡比托凯	Cibitoke
布韦岛	Bouvet Island
朝鲜	North Korea
海州	Haizhou
惠山	Huishan
江界	Kanggye
开城	Open city
罗先	Luo Xian
南浦	Nanpu
平壤	Pyongyang
清津	Chongjin
沙里院	Sariwon
咸兴	Hamhung
新义州	Sinuiju
元山	Wonsan
丹麦	Denmark
奥胡斯	Aarhus
北日德兰	The North Jutland
博恩霍尔姆	Bohn Holm
菲特烈堡	Frederiksborg Palace
菲茵	Fyn
哥本哈根	Copenhagen
里伯	Lieb
灵克宾	Ringk Bing
罗斯基勒	Roskilde
南日德兰	South Jutland
斯多斯特姆	J Dostum
维堡	Viborg
维厄勒	Viole
西希兰	Xi Xilan
德国	Germany
阿恩斯贝格	A Byrness Begg
爱尔福特	Erfurt
安斯巴格	Ann Spargo
奥格斯堡	Augsburg
柏林	Berlin
拜伊罗特	Bayreuth
比勒费尔德	Bielefeld
波茨坦	Potsdam
波鸿	Bochum
不来梅	Bremen
不伦瑞克	Brunswick
达姆施塔特	Darmstadt
代特莫尔特	Detmold
德累斯顿	Dresden
德绍	Dessau
杜塞尔多夫	Dusseldorf
法兰克福	Frankfurt
弗赖堡	Freiburg
哈雷	Harley
汉堡	Hamburger
汉诺威	Hannover
基尔	Kiel
吉森	Giessen
卡尔斯鲁厄	Karlsruhe
卡塞尔	Cassell
开姆尼斯	Chemnitz
科布伦次	Koblenz
科隆	Cologne
莱比锡	Leipzig
兰茨胡特	Lantz Huth
吕讷堡	Luneburg
马格德堡	Magdeburg
曼海姆	Mannheim
美因兹	Mainz
明斯特	Muenster
慕尼黑	Munich
纽伦堡	Nuremberg
什未林	Schwerin
斯图加特	Stuttgart
特里尔	Trier
威斯巴登	Wiesbaden
维尔茨堡	Wuerzburg
东帝汶	East Timor
阿伊莱乌	Aileu
阿伊纳罗	Ai Nalo
埃尔梅拉	Ermera
安贝诺	Anbeinuo
包考	Package test
博博纳罗	Bo Bona Lo
帝力	Dili
科瓦利马	Koval Ma
劳滕	Lautem
利基卡	Liquica
马纳图托	Manna Toto
马努法伊	Manu Fay
维克克	Vik
多哥	Togo
滨海区	Coastal zone
草原区	Steppe region
高原区	Plateau area
卡拉区	Cara District
中部区	The central area
多米尼加	Dominica
多米尼加共和国	Dominican Republic
俄罗斯	Russia
阿巴坎	Abakan
阿尔汉格尔斯克	Arkhangelsk
阿金斯科耶	Akin Skou Jerzy
阿纳德尔	Anadyr
阿斯特拉罕	Astrakhan
埃利斯塔	Ellis Kobita
奥廖尔	Orel
奥伦堡	Orenburg
巴尔瑙尔	Barnaul
奔萨	Penza
彼得罗巴甫洛夫斯克	Pietro Pavlov Fisk
彼得罗扎沃茨克	Petrozavodsk
彼尔姆	Boehm
比罗比詹	Birobidzhan
别尔哥罗德	Belgo Rod
伯力	Bo Li
布拉戈维申斯克	Blagoveshchensk
布良斯克	Bryansk
车里雅宾斯克	Chelyabinsk
赤塔	Chita
顿河畔罗斯托夫	Rostov on don
鄂木斯克	Omsk
伏尔加格勒	Volgograd
弗拉基米尔	Vladimir
弗拉季高加索	Fra Caucasus
戈尔诺－阿尔泰斯克	Gorno Altai tesch
格罗兹尼	Grozny
海参崴	Vladivostok
汉特－曼西斯克	Khanty mansiysk:
基洛夫	Kirov
加里宁格勒	Kaliningrad
喀山	Kazan
卡卢加	Kaluga
科斯特罗马	Coster Roman
克拉斯诺达尔	Krasnodar
克拉斯诺亚尔斯克	Krasnoyarsk
克麦罗沃	J Melo Wo
克孜勒	The
库德姆卡尔	Chude M Karl
库尔干	Kurgan
库尔斯克	Kursk
利佩茨克	Lipetsk
梁赞	Liang Zan
马哈奇卡拉	Makhachkala
马加丹	Ma Jiadan
马加斯	Madagascar
迈科普	Maikop
摩尔曼斯克	Murmansk
莫斯科	Moscow
纳尔奇克	Nar Chick
纳里扬马尔	Nari Jan Mar
南萨哈林斯克	Yuzhno Sakhalinsk
诺夫哥罗德	Novgorod
帕拉纳	Parana
普斯科夫	Pskov
切博克萨雷	Che Bock Saleh
切尔克斯克	Cherkessk
秋明	Tyumen
萨拉托夫	Saratov
萨兰斯克	Saran Silk
萨列哈尔德	Sa Leo Halder
萨马拉	Samarra
瑟克特夫卡尔	Sirk Teff Karl
圣彼得堡	St Petersburg
斯摩棱斯克	Smolensk
斯塔夫罗波尔	Stavropol
坦波夫	Tambov
特维尔	Tver
图拉	Tula
托木斯克	Tomsk
沃罗涅什	Vorone J
沃洛格达	Vologda
乌法	Ufa
乌兰乌德	Ulam Uhde
乌里扬诺夫斯克	Ulyanovsk
乌斯季奥尔登斯基	Lucius G Alden J Ki
下诺夫哥罗德	Nizhny Novgorod
新西伯利亚	Novosibirsk
雅库茨克	Yakutsk
雅罗斯拉夫尔	Jaroslav M
叶卡捷林堡	Yekaterinburg
伊尔库茨克	Irkutsk
伊热夫斯克	Izhevsk
伊万诺沃	Ivanovo
约什卡尔奥拉	Josh Karl Ola
厄瓜多尔	Ecuador
阿苏艾	A Suai
埃尔奥罗	El Olo
埃斯梅拉尔达斯	Esme Lal Das
玻利瓦尔	Bolivar
瓜亚斯	Guayas
加拉帕戈斯	Gala Pargo J
卡尔奇	Kalki
卡尼亚尔	Cagniard
科托帕希	Coto Patsy
洛哈	Loja
洛斯里奥斯	Los Rios
马纳比	Manaby
莫罗纳－圣地亚哥	Morona Santiago
纳波，奥雷利亚纳	The Napo	 Orellana
帕斯塔萨	Paz Tassa
皮钦查	Pi Qincha
钦博拉索	Cin Bo Russo
萨莫拉－钦奇佩	Zamora Chinchipe
苏昆毕奥斯	Sue Quinn Biot J
通古拉瓦	Tungurahua
因巴布拉	Hussein Babu La
厄立特里亚	Eritrea
安塞巴	Anseba
北红海	The northern Red Sea
加什·巴尔卡	Gaash Balka
南部	South
南红海	Nan Honghai
法国	France
阿尔勒	Arles
阿雅克修	Aya Ajaccio
艾克斯	Aike.
奥尔良	Orlean
巴黎	Paris
贝桑松	Besancon
第戎	Dijon
弗雷瑞斯	Frey Reiss
卡昂	Caen
雷恩	Lei En
里昂	Leon
里尔	Lille
利摩日	Limoges
鲁昂	Rouen
马赛	Marseille
梅斯	Maes
蒙彼利埃	Montpelier
南特	Nantes
尼斯	Kniss
沙隆	Sellum
图卢兹	Toulouse
瓦朗斯	Valens
亚眠	Amiens
法罗群岛	The Faroe Islands
法属波利尼西亚	French Polynesia
法属圭亚那	French Guiana
法属南部领地	French Southern Territories
梵蒂冈	Vatican
菲律宾	Philippines
达沃	Davao
卡卢坎	Kalucan
马尼拉	Manila
宿务	Cebu
斐济	Fiji
芬兰	Finland
埃斯波	Espoo
奥卢	Oulu
波里	Pori
博尔沃	Boerwo
海门林纳	Hameenlinna
赫尔辛基	Helsinki
卡亚尼	Kayani
科科拉	Kokora
科特卡	Kotka
库奥皮奥	Kuopio
拉赫蒂	Lahti
拉彭兰塔	La Pentti Lan Kobita
罗瓦涅米	Rovaniemi
玛丽港	Mariehamn
米凯利	Mikkeli
坦佩雷	Tampere
图尔库	Turku
瓦萨	Vaasa
万塔	Vantaa
约恩苏	Joensuu
佛得角	Cape Verde
保尔	Paul
波多诺伏	Porto Novo
博阿维斯塔岛	Boa Vista Island
布拉瓦岛	Brava Island
大里贝拉	Ribeira Grande
福古岛	Fogo
马尤岛	Ma Youdao
莫斯特罗	Most Lo
普拉亚	Praia
萨尔岛	Sal Island
圣安唐岛	St Tang Island
圣地亚哥岛	Santiago Island
圣多明戈	Santo Domingo
圣菲利普	Philip
圣米戈尔	Shengmigeer
圣尼古拉岛	St. Nicola Island
圣维森特岛	S o Vicente
塔拉法尔	Tara Farr
弗兰克群岛	The Frank Islands
冈比亚	Gambia
刚果	Congo
刚果民主共和国	The Democratic Republic of the Congo
哥伦比亚	Columbia
阿劳卡	Arauca
安提奥基亚	Antioquia
北桑坦德	Norte de Santander
波哥大首都区	Bogota	 the capital district
博利瓦尔	Bolivar M
博亚卡	Boyaka
瓜维亚雷	Gua Vee Ale
瓜希拉	Guachira
瓜伊尼亚	Guiania
金迪奥	Golden Dior
卡尔达斯	Caldas
卡克塔	Kakta
卡萨纳雷	Kasanalei
考卡	The Cauca
考卡山谷	The Cauca Valley
科尔多巴	Cordoba
昆迪纳马卡	Cundinamarca
利萨拉尔达	Lisalaerda
马格达雷那	Magedaleina
梅塔	Mehta
纳里尼奥	Narino
普图马约	Putumayo
乔科	Qiao Ke
塞萨尔	Cesar
桑坦德	Santander
圣安德烈斯-普罗维登西亚	San Andres Plo Weeden Thea
苏克雷	Su Kelei
托利马	Tolima
维查达	Victoria Chadha
沃佩斯	Lopes
乌伊拉	Uira
哥斯达黎加	Costa Rica
阿拉胡埃拉	Ala Huw Ella
埃雷迪亚	Heredia
瓜纳卡斯特	Guanacaste
卡塔戈	Cartago
利蒙	Limon
蓬塔雷纳斯	Ponta Leines
圣何塞	San Jose
格恩西岛	Guernsey
格林纳达	Grenada
格陵兰	Greenland
古巴	Cuba
奥尔金	Olgin
比那尔德里奥	Pinal Delio
比亚克拉拉	Villa Clara
格拉玛	Granma
关塔那摩	Guantanamo
哈瓦那	Havana
哈瓦那城	The city of Havana
卡马圭	Camaguey
拉斯图纳斯	Las Tunas
马坦萨斯	Machtan Sass
马亚里	Ma Yali
曼萨尼罗	Mansa Nilo
青年岛特区	Isla de la Juventud
圣地亚哥	Santiago
圣斯皮里图斯	Spiritus
西恩富戈斯	Cienfuegos
谢戈德阿维拉	Semyon Gold Avila
瓜德罗普	Gua de Ropp
关岛	Guam
圭亚那	Guyana
埃塞奎博群岛-西德梅拉拉	Essequibo islands West Demerara
巴里马-瓦伊尼	Barry Wayne
波默伦-苏佩纳姆	Pomeroon - Sauper Namm
波塔罗-锡帕鲁尼	Potaro tin Paluni
德梅拉拉-马海卡	De Melara - Mahai card
东伯比斯-科兰太因	East Berbice Corran too because
库尤尼-马扎鲁尼	Kuyuni e Rooney
马海卡-伯比斯	Mohair card Berbice
上德梅拉拉-伯比斯	Upper Demerara Berbice
上塔库图-上埃塞奎博	Upper takutu upper Essequibo
哈萨克斯坦	Kazakhstan
阿尔卡累克	Aerkaleike
阿克莫拉	Ake Mora
阿克苏	Akesu
阿克托别	Aktobe
阿拉木图	Ala Mutu
阿雷斯	Ares
阿斯塔纳市	The city of Astana
阿特劳	Atla
埃基巴斯图兹	Erkki Ba Stulz
巴尔喀什	Balkhash
巴甫洛达尔	Ba P Lo Dahl
北哈萨克斯坦	North Kazakhstan
东哈萨克斯坦	East Kazakhstan
济良诺夫斯克	Zyryanovsk
江布尔	Jaunpur
杰兹卡兹甘	Jerzy Katz Gan
卡拉干达	Karaganda
卡拉扎尔	C Lazar
卡普恰盖	Kapchagay
科斯塔奈	Costa Nai
克孜勒奥尔达	Kyzy Le Olda
肯套	Ken set
库尔恰托夫	Kurchatov
利萨科夫斯克	Lisa koves J
列宁诺戈尔斯克	Lenin Nor Gore Silk
鲁德内	Rudy
曼格斯套	Mangos Tau
南哈萨克斯坦	Southern Kazakhstan
萨兰	Sa Lan
塞梅伊	Saimeiyi
沙赫京斯克	Shah Jines J
斯捷普诺戈尔斯克	J Tepnogorsk
铁克利	Tekeli
铁米尔套	Temirtau
突厥斯坦	Turkestan
西哈萨克斯坦	West Kazakhstan
扎纳奥津	Za Na O Zin
海地	Haiti
韩国	The Republic of Korea
大邱	Daegu
达城郡	Dalseong
寿城区	Shou City
大田	Field
釜山	Busan
光州	Kwangju
济州特别自治道	Jeju Province
江原道	Jiang Yuandao
春川市	The city of Chuncheon
东海市	The East China Sea city
高城郡	Gao Chengjun
横城郡	Hoengseong
洪川郡	Hong Chuanjun
华川郡	Hua Chuanjun
江陵市	The city of Jiangling
旌善郡	Jing Shanjun
麟蹄郡	Inje
宁越郡	Yeongwol gun
平昌郡	Ping Changjun
三陟市	Three Zhi City
束草市	Sokcho
太白市	Taebaek City
铁原郡	Cheorwon
襄阳郡	Xiangyang County
杨口郡	Yanggu
原州市	Wonju City
京畿道	Gyeonggi do
安城市	Ann City
安山市	Ansan City
安养市	Anyang City
抱川市	Pocheon
城南市	Seongnam City
东豆川市	Dongducheon
富川市	The city of Fuchuan
高阳市	Gao Yang City
光明市	Bright city
广州市	The city of Guangzhou
果川市	Gwacheon City
河南市	The city of Henan
华城市	China City
加平郡	Gapyeong
金浦市	Gimpo City
九里市	Nine in the city
军浦市	Gunpo
骊州郡	Yeoju
利川市	The city of Lichuan
